title,url,discounted_price,original_price
50 x Medical Disposable Face Mouth Mask 95% Filtration CE FDA HHI-582255,https://www.tinydeal.com/pt/50-x-medical-disposable-face-mouth-mask-95-filtration-ce-fda-p-200376.html,R$94.62,R$183.25 
Transparent Anti Droplet Dust-proof Medical Face Shield Face Cover Mask HHI-581539,https://www.tinydeal.com/pt/transparent-anti-droplet-dust-proof-medical-face-shield-face-cover-mask-p-200336.html,R$9.50,R$18.58 
10 x Transparent Anti Droplet Dust-proof Medical Face Shield Face Cover Mask KB-581546,https://www.tinydeal.com/pt/10-x-transparent-anti-droplet-dust-proof-medical-face-shield-face-cover-mask-p-200338.html,R$73.90,R$131.57 
GM320 Termômetro Infravermelho sem contato Laser Gun Termômetro IV EDT-528767,https://www.tinydeal.com/pt/gm320-infrared-thermometer-non-contact-laser-gun-ir-thermometer-p-165306.html,R$90.72,R$101.22 
Infrared Non-Contact Forehead Thermometer for Fever Check HHIHE-580934,https://www.tinydeal.com/pt/infrared-non-contact-forehead-thermometer-for-fever-check-p-200328.html,R$235.13,R$384.18 
1/2/5/10 pcs Snore Stopper silicone nariz clipe dormir dispositivo BKH-531636,https://www.tinydeal.com/pt/12510-pcs-snore-stopper-silicone-nose-clip-sleeping-device-p-166268.html,R$6.58,R$19.80 
Portátil Mini LCD Digital Pneu Tester Medidor de pressão CTL-27481,https://www.tinydeal.com/pt/portable-mini-lcd-digital-tyre-tire-pressure-gauge-tester-p-23322.html,R$18.14,R$20.98 
Mini Airtight Sealer máquina para saco de plástico - cores sortidas HLI-48626,https://www.tinydeal.com/pt/mini-airtight-sealer-machine-for-plastic-bag-assorted-color-p-39392.html,R$12.30,R$31.30 
Luz controlada Lamp Praça LED Wall Noite Bedroom Night Light HLT-506114,https://www.tinydeal.com/pt/light-controlled-square-led-wall-night-lamp-bedroom-night-light-p-158312.html,R$12.38,R$28.32 
1 Par de silicone perder Magnetic Anéis Toe Peso HBI-13397,https://www.tinydeal.com/pt/1-pair-of-silicone-magnetic-losing-weight-toe-rings-p-12727.html,R$5.70,R$17.42 
T10 Bluetooth Headsets Wireless Earbuds 5.0 TWS Earphone EEP-581913,https://www.tinydeal.com/pt/t10-bluetooth-headsets-wireless-earbuds-50-tws-earphone-p-200802.html,R$71.45,R$137.37 
Luz Traseira LED recarregável bicicleta 5 LED Water Resistant USB RTH-555898,https://www.tinydeal.com/pt/5-led-water-resistant-usb-rechargeable-led-bike-tail-light-p-177336.html,R$15.74,R$28.32 
DUBERY Polarized Sunglasses Men's Driving Shades Male Sun Glasses S-580864,https://www.tinydeal.com/pt/dubery-polarized-sunglasses-mens-driving-shades-male-sun-glasses-p-200630.html,R$31.51,R$81.27 
Multifuncional USB 2.0 M2 / TF Card Reader w / Lanyard CCR-85173,https://www.tinydeal.com/pt/multifunction-usb-20-m2-tf-card-reader-w-lanyard-p-57252.html,R$8.39,R$8.99 
Mini Video Capture Card USB 2.0 HDMI Video Grabber Record Box for PS4 Game DVD HHIHE-583000,https://www.tinydeal.com/pt/mini-video-capture-card-usb-20-hdmi-video-grabber-record-box-for-ps4-game-dvd-p-200736.html,R$52.39,R$116.31 
Detachable Baseball Protective Clear Face mask Cap Anti-Splash Hat S-581830,https://www.tinydeal.com/pt/detachable-baseball-protective-clear-face-mask-cap-anti-splash-hat-p-200362.html,R$16.54,R$19.94 
DC 12V 45 centímetros de 45 SMD 1210 LED flexível impermeável Car Light Strip RLT-274929,https://www.tinydeal.com/pt/dc-12v-45cm-45-smd-1210-led-flexible-waterproof-car-strip-light-p-118388.html,R$6.85,R$12.33 
Baellerry Men Wallets PU Leather Solid Luxury Slim Short Credit Card Holder HHI-582256,https://www.tinydeal.com/pt/baellerry-men-wallets-pu-leather-solid-luxury-slim-short-credit-card-holder-p-200737.html,R$19.89,R$109.55 
S03 Smart Watch Waterproof Activity Tracker Smart Band Bracelet E-582866,https://www.tinydeal.com/pt/s03-smart-watch-waterproof-activity-tracker-smart-band-bracelet-p-200781.html,R$63.89,R$128.40 
Inteligente Cadeia LED Whistle Key Finder Anel Mini Luz HHI-521830,https://www.tinydeal.com/pt/smart-whistle-led-key-finder-ring-chain-mini-light-p-162491.html,R$9.59,R$10.46 
2.4GHz 1600dpi Wireless Optical Mouse Mice CMS-11833-C3,https://www.tinydeal.com/pt/24ghz-1600dpi-wireless-optical-mouse-mice-p-168444.html,R$19.13,R$36.72 
WLISTH Multifunctional Men's Quartz Watch Fashion 4 Hands Six Calendar Watch WWT-580987,https://www.tinydeal.com/pt/wlisth-multifunctional-mens-quartz-watch-fashion-4-hands-six-calendar-watch-p-200675.html,R$64.14,R$131.75 
12pcs Funlife / set de cristal verde tridimensional adesivos de parede Espelho HHI-562368,https://www.tinydeal.com/pt/funlife-12pcs-set-green-crystal-three-dimensional-wall-stickers-mirror-p-179148.html,R$12.20,R$36.72 
Universal Titular Strap 6 '' Telefone colar de corda e punho saco w Lanyard HHITH-543753,https://www.tinydeal.com/pt/universal-6-phone-lanyard-necklace-wrist-strap-card-bag-holder-w-lanyard-p-172964.html,R$11.10,R$16.53 
Xiaomi 3D Men Electric Shaver Razor Enchen BlackStone3 IPX7 Waterproof HHI-580937,https://www.tinydeal.com/pt/xiaomi-3d-men-electric-shaver-razor-enchen-blackstone3-ipx7-waterproof-p-200797.html,R$129.75,R$155.69 
Neoprene Short Beach Meias Mergulho Meias antiderrapantes botas antiderrapante de Mergulho SGD-548443,https://www.tinydeal.com/pt/neoprene-short-beach-socks-diving-socks-non-slip-antiskid-scuba-dive-boots-p-174657.html,R$18.22,R$20.34 
8 milímetros Termómetro Inteligente Anel de medição de temperatura HHI-566384,https://www.tinydeal.com/pt/8mm-intelligent-thermometer-temperature-measuring-ring-p-181149.html,R$7.99,R$35.56 
Teeth Whitening Pen Tooth Gel Whitener Bleach HBI-113105,https://www.tinydeal.com/pt/teeth-whitening-pen-tooth-gel-whitener-bleach-p-66709.html,R$11.45,R$31.83 
1/2 pcs Car Viseira Óculos Óculos de Sol Ticket Clip Holder - cores sortidas RIG-179460,https://www.tinydeal.com/pt/12-pcs-car-visor-glasses-sunglasses-ticket-clip-holder-color-assorted-p-90302.html,R$7.88,R$20.96 
Anti-droplets Hat Detachable Design Clear Facial Mask Outdoor Protector Sun Hat EEP-583095,https://www.tinydeal.com/pt/anti-droplets-hat-detachable-design-clear-facial-mask-outdoor-protector-sun-hat-p-200783.html,R$37.52,R$59.21 
TWS F9 Bluetooth Earphone Touch Wireless Headphones 8D Stereo Sports Earbuds EEP-582910,https://www.tinydeal.com/pt/tws-f9-bluetooth-earphone-touch-wireless-headphones-8d-stereo-sports-earbuds-p-200780.html,R$64.51,R$128.40 
Meias de compressão para Homem Mulher STH-563907,https://www.tinydeal.com/pt/compression-socks-for-man-woman-p-180225.html,R$14.72,R$34.50 
NO.1 F7 relógio inteligente com GPS embutido E-554214-C124,https://www.tinydeal.com/pt/no1-f7-smart-watch-with-built-in-gps-p-182624.html,R$97.23,R$272.46 
18g Selante Super Strong Fix metal cola vedante Cola bond HHI-557389,https://www.tinydeal.com/pt/18g-super-strong-sealant-fix-metal-adhesive-sealing-glue-bond-p-177571.html,R$6.86,R$20.97 
Saco de armazenamento Duplo Zippers Design Multi-funcional HHI-115510,https://www.tinydeal.com/pt/double-zippers-design-multi-functional-storage-bag-p-68145.html,R$22.98,R$24.28 
